Ticker,Org-Ticker,Company,Sector [6],Industry [6]
ARE.TO,ARE,Aecon Group Inc.,Industrials,Construction
AEM.TO,AEM,Agnico Eagle Mines Limited,Basic Materials,Metals & Mining
AC.TO,AC,Air Canada,Industrials,Transportation
AGI.TO,AGI,Alamos Gold Inc.,Basic Materials,Metals & Mining
AQN.TO,AQN,Algonquin Power & Utilities Corp.,Utilities,Independent Power Producers
ATD.TO,ATD,Alimentation Couche-Tard Inc.,Consumer Defensive,Retail Defensive
AP-UN.TO,AP-UN,Allied Properties Real Estate Investment Trust,Real Estate,REITs
ALA.TO,ALA,AltaGas Ltd.,Utilities,Regulated Utilities
AIF.TO,AIF,Altus Group Limited,Real Estate,Real Estate
ARX.TO,ARX,ARC Resources Ltd.,Energy,Oil & Gas
ATZ.TO,ATZ,Aritzia Inc.,Consumer Cyclical,Retail Cyclical
AX-UN.TO,AX-UN,Artis Real Estate Investment Trust,Real Estate,REITs
ACO-X.TO,ACO-X,ATCO Ltd.,Utilities,Regulated Utilities
ATA.TO,ATA,ATS Automation Tooling Systems Inc.,Industrials,Industrial Products
ACB.TO,ACB,Aurora Cannabis Inc.,Healthcare,Drug Manufacturers
BTO.TO,BTO,B2Gold Corp.,Basic Materials,Metals & Mining
BDGI.TO,BDGI,Badger Infrastructure Solutions Ltd.,Industrials,Construction
BLDP.TO,BLDP,Ballard Power Systems Inc.,Industrials,Industrial Products
BMO.TO,BMO,Bank of Montreal,Financial Services,Banks
BNS.TO,BNS,Bank of Nova Scotia,Financial Services,Banks
ABX.TO,ABX,Barrick Gold Corporation,Basic Materials,Metals & Mining
BHC.TO,BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers
BCE.TO,BCE,BCE Inc.,Communication Services,Telecommunication Services
BIR.TO,BIR,Birchcliff Energy,Energy,Oil & Gas
BB.TO,BB,BlackBerry Limited,Technology,Software
BEI-UN.TO,BEI-UN,Boardwalk Real Estate Investment Trust,Real Estate,REITs
BBD-B.TO,BBD-B,Bombardier Inc.,Industrials,Aerospace & Defense
BLX.TO,BLX,Boralex Inc.,Utilities,Independent Power Producers
BYD.TO,BYD,Boyd Group Services Inc.,Consumer Cyclical,Personal Services
BAM-A.TO,BAM-A,Brookfield Asset Management Inc.,Financial Services,Asset Management
BBU-UN.TO,BBU-UN,Brookfield Business Partners L.P.,Industrials,Conglomerates
BIP-UN.TO,BIP-UN,Brookfield Infrastructure Partners L.P.,Utilities,Regulated Utilities
BEP-UN.TO,BEP-UN,Brookfield Renewable Partners L.P.,Utilities,Independent Power Producers
DOO.TO,DOO,BRP Inc.,Consumer Cyclical,Vehicles & Parts
CAE.TO,CAE,CAE Inc.,Industrials,Aerospace & Defense
CCO.TO,CCO,Cameco Corporation,Energy,Other Energy Sources
CF.TO,CF,Canaccord Genuity Group Inc.,Financial Services,Capital Markets
GOOS.TO,GOOS,Canada Goose Holdings Inc.,Consumer Cyclical,Apparel & Accessories
CAR-UN.TO,CAR-UN,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,REITs
CM.TO,CM,Canadian Imperial Bank of Commerce,Financial Services,Banks
CNR.TO,CNR,Canadian National Railway Company,Industrials,Transportation
CNQ.TO,CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas
CP.TO,CP,Canadian Pacific Railway Limited,Industrials,Transportation
CTC-A.TO,CTC-A,Canadian Tire Corporation Limited,Consumer Cyclical,Retail Cyclical
CU.TO,CU,Canadian Utilities Limited,Utilities,Regulated Utilities
CWB.TO,CWB,Canadian Western Bank,Financial Services,Banks
CFP.TO,CFP,Canfor Corporation,Basic Materials,Forest Products
WEED.TO,WEED,Canopy Growth Corporation,Healthcare,Drug Manufacturers
CPX.TO,CPX,Capital Power Corporation,Utilities,Independent Power Producers
CS.TO,CS,Capstone Mining Corp.,Basic Materials,Metals & Mining
CJT.TO,CJT,Cargojet Inc.,Industrials,Transportation
CAS.TO,CAS,Cascades Inc.,Basic Materials,Forest Products
CCL-B.TO,CCL-B,CCL Industries Inc.,Consumer Cyclical,Packaging & Containers
CLS.TO,CLS,Celestica Inc.,Technology,Hardware
CVE.TO,CVE,Cenovus Energy Inc.,Energy,Oil & Gas
CG.TO,CG,Centerra Gold Inc.,Basic Materials,Metals & Mining
GIB-A.TO,GIB-A,CGI Inc.,Technology,Software
CSH-UN.TO,CSH-UN,Chartwell Retirement Residences,Real Estate,Real Estate
CHP-UN.TO,CHP-UN,Choice Properties Real Estate Investment Trust,Real Estate,REITs
CIX.TO,CIX,CI Financial Corp.,Financial Services,Asset Management
CCA.TO,CCA,Cogeco Communications Inc.,Communication Services,Telecommunication Services
CIGI.TO,CIGI,Colliers International Group Inc.,Real Estate,Real Estate
CSU.TO,CSU,Constellation Software Inc.,Technology,Software
CTS.TO,CTS,Converge Technology Solutions Corp.,Technology,IT Consulting & Other Services
CJR-B.TO,CJR-B,Corus Entertainment Inc.,Communication Services,Diversified Media
CPG.TO,CPG,Crescent Point Energy Corp.,Energy,Oil & Gas
CRR-UN.TO,CRR-UN,Crombie Real Estate Investment Trust,Real Estate,REITs
CRON.TO,CRON,Cronos Group Inc.,Healthcare,Drug Manufacturers
CRT-UN.TO,CRT-UN,CT Real Estate Investment Trust,Real Estate,REITs
DML.TO,DML,Denison Mines Corp.,Energy,Other Energy Sources
DSG.TO,DSG,Descartes Systems Group Inc.,Technology,Software
DCBO.TO,DCBO,Docebo Inc.,Technology,Application Software
DOL.TO,DOL,Dollarama Inc.,Consumer Defensive,Retail Defensive
DIR-UN.TO,DIR-UN,Dream Industrial Real Estate Investment Trust,Real Estate,REITs
D-UN.TO,D-UN,Dream Office Real Estate Investment Trust,Real Estate,REITs
DPM.TO,DPM,Dundee Precious Metals Inc.,Basic Materials,Metals & Mining
DND.TO,DND,Dye & Durham Limited,Technology,Software
ECN.TO,ECN,ECN Capital Corp.,Financial Services,Credit Services
ELD.TO,ELD,Eldorado Gold Corporation,Basic Materials,Metals & Mining
EFN.TO,EFN,Element Fleet Management Corp.,Industrials,Business Services
EMA.TO,EMA,Emera Incorporated,Utilities,Regulated Utilities
EMP-A.TO,EMP-A,Empire Company,Consumer Defensive,Retail Defensive
ENB.TO,ENB,Enbridge Inc.,Energy,Oil & Gas
EDR.TO,EDR,Endeavour Silver Corp.,Basic Materials,Metals & Mining
ERF.TO,ERF,Enerplus Corporation,Energy,Oil & Gas
ENGH.TO,ENGH,Enghouse Systems Limited,Technology,Software
EQX.TO,EQX,Equinox Gold Corp.,Basic Materials,Metals & Mining
EQB.TO,EQB,Equitable Group Inc.,Financial Services,Banks
ERO.TO,ERO,Ero Copper Corp.,Basic Materials,Metals & Mining
EIF.TO,EIF,Exchange Income Corporation,Industrials,Transportation
FFH.TO,FFH,Fairfax Financial Holdings Limited,Financial Services,Insurance
FTT.TO,FTT,Finning International Inc.,Industrials,Industrial Distribution
FCR-UN.TO,FCR-UN,First Capital Real Estate Investment Trust,Real Estate,REITs
FR.TO,FR,First Majestic Silver Corp.,Basic Materials,Metals & Mining
FM.TO,FM,First Quantum Minerals Ltd.,Basic Materials,Metals & Mining
FSV.TO,FSV,FirstService Corporation,Real Estate,Real Estate
FTS.TO,FTS,Fortis Inc.,Utilities,Regulated Utilities
FVI.TO,FVI,Fortuna Silver Mines Inc.,Basic Materials,Metals & Mining
FNV.TO,FNV,Franco-Nevada Corporation,Basic Materials,Metals & Mining
WN.TO,WN,George Weston Limited,Consumer Defensive,Retail Defensive
GFL.TO,GFL,GFL Environmental Inc.,Industrials,Waste Management
GEI.TO,GEI,Gibson Energy Inc.,Energy,Oil & Gas
GIL.TO,GIL,Gildan Activewear Inc.,Consumer Cyclical,Apparel & Accessories
GSY.TO,GSY,goeasy Ltd.,Financial Services,Credit Services
GRT-UN.TO,GRT-UN,Granite Real Estate Investment Trust,Real Estate,REITs
GWO.TO,GWO,Great-West Lifeco Inc.,Financial Services,Insurance
HR-UN.TO,HR-UN,H&R Real Estate Investment Trust,Real Estate,REITs
HCG.TO,HCG,Home Capital Group Inc.,Financial Services,Banks
HBM.TO,HBM,Hudbay Minerals Inc.,Basic Materials,Metals & Mining
H.TO,H,Hydro One Limited,Utilities,Regulated Utilities
IAG.TO,IAG,iA Financial Corporation Inc.,Financial Services,Insurance
IMG.TO,IMG,Iamgold Corporation,Basic Materials,Metals & Mining
IGM.TO,IGM,IGM Financial Inc.,Financial Services,Asset Management
IMO.TO,IMO,Imperial Oil Limited,Energy,Oil & Gas
INE.TO,INE,Innergex Renewable Energy Inc.,Utilities,Independent Power Producers
IFC.TO,IFC,Intact Financial Corporation,Financial Services,Insurance
IFP.TO,IFP,Interfor Corporation,Basic Materials,Forest Products
IIP-UN.TO,IIP-UN,InterRent Real Estate Investment Trust,Real Estate,REITs
IVN.TO,IVN,Ivanhoe Mines Ltd.,Basic Materials,Metals & Mining
JWEL.TO,JWEL,Jamieson Wellness Inc.,Consumer Defensive,Consumer Packaged Goods
KNT.TO,KNT,K92 Mining Inc.,Basic Materials,Metals & Mining
KEY.TO,KEY,Keyera Corp.,Energy,Oil & Gas
KMP-UN.TO,KMP-UN,Killam Apartment Real Estate Investment Trust,Real Estate,REITs
KXS.TO,KXS,Kinaxis Inc.,Technology,Software
K.TO,K,Kinross Gold Corporation,Basic Materials,Metals & Mining
LIF.TO,LIF,Labrador Iron Ore Royalty Corporation,Basic Materials,Steel
LB.TO,LB,Laurentian Bank of Canada,Financial Services,Banks
LSPD.TO,LSPD,Lightspeed POS Inc.,Technology,Software
LNR.TO,LNR,Linamar Corporation,Consumer Cyclical,Vehicles & Parts
LAC.TO,LAC,Lithium Americas Corp.,Basic Materials,Metals & Mining
L.TO,L,Loblaw Companies Limited,Consumer Defensive,Retail Defensive
LUN.TO,LUN,Lundin Mining Corporation,Basic Materials,Metals & Mining
MAG.TO,MAG,MAG Silver Corp.,Basic Materials,Metals & Mining
MG.TO,MG,Magna International Inc.,Consumer Cyclical,Vehicles & Parts
MFC.TO,MFC,Manulife Financial Corporation,Financial Services,Insurance
MFI.TO,MFI,Maple Leaf Foods Inc.,Consumer Defensive,Consumer Packaged Goods
MRE.TO,MRE,Martinrea International Inc.,Consumer Cyclical,Vehicles & Parts
MEG.TO,MEG,MEG Energy Corp.,Energy,Oil & Gas
MX.TO,MX,Methanex Corporation,Basic Materials,Chemicals
MRU.TO,MRU,Metro Inc.,Consumer Defensive,Retail Defensive
MTY.TO,MTY,MTY Food Group,Consumer Cyclical,Restaurants
MTL.TO,MTL,Mullen Group Ltd.,Industrials,Transportation
NA.TO,NA,National Bank of Canada,Financial Services,Banks
NGD.TO,NGD,New Gold Inc.,Basic Materials,Metals & Mining
NXE.TO,NXE,NexGen Energy Ltd.,Energy,Other Energy Sources
NFI.TO,NFI,NFI Group Inc.,Consumer Cyclical,Vehicles & Parts
NPI.TO,NPI,Northland Power Inc.,Utilities,Independent Power Producers
NWH-UN.TO,NWH-UN,NorthWest Healthcare Properties Real Estate Investment Trust,Real Estate,REITs
NG.TO,NG,NovaGold Resources Inc.,Basic Materials,Metals & Mining
NTR.TO,NTR,Nutrien Ltd.,Basic Materials,Agriculture
NVEI.TO,NVEI,Nuvei Corporation,Technology,Software
OGC.TO,OGC,OceanaGold Corporation,Basic Materials,Metals & Mining
ONEX.TO,ONEX,Onex Corporation,Financial Services,Asset Management
OTEX.TO,OTEX,Open Text Corporation,Technology,Software
OGI.TO,OGI,OrganiGram Holdings Inc.,Healthcare,Drug Manufacturers
OR.TO,OR,Osisko Gold Royalties Ltd.,Basic Materials,Metals & Mining
OSK.TO,OSK,Osisko Mining Inc.,Basic Materials,Metals & Mining
PAAS.TO,PAAS,Pan American Silver Corp.,Basic Materials,Metals & Mining
PXT.TO,PXT,Parex Resources Inc.,Energy,Oil & Gas
PKI.TO,PKI,Parkland Corporation,Energy,Oil & Gas
PPL.TO,PPL,Pembina Pipeline Corporation,Energy,Oil & Gas
