,0,1,2,3,4,5,6,7,8,9,10,11
0,排序,代號,名稱,,按盤價,變動,變動率,最高價,最低價,成交金額,貨幣,相關資料
1,1,00700,騰訊控股,,345.200,+11.200,+3.353%,345.800,328.800,101.35億,HKD,|
2,2,03690,美團－Ｗ,,176.800,+2.100,+1.202%,177.800,164.700,65.00億,HKD,|
3,3,02800,盈富基金,,20.260,+0.340,+1.707%,20.360,19.410,55.05億,HKD,|
4,4,02828,恒生中國企業,,69.180,+1.180,+1.735%,69.420,66.040,46.68億,HKD,|
5,5,09988,阿里巴巴－ＳＷ,,88.650,+2.400,+2.783%,89.150,84.600,39.82億,HKD,|
6,6,02269,藥明生物,,62.550,+2.700,+4.511%,63.950,58.550,21.34億,HKD,|
7,7,01211,比亞迪股份,,201.600,+9.000,+4.673%,203.000,187.000,19.34億,HKD,|
8,8,02318,中國平安,,52.850,+1.200,+2.323%,53.000,50.400,19.28億,HKD,|
9,9,01299,友邦保險,,88.300,+1.500,+1.728%,88.650,84.400,17.60億,HKD,|
10,10,01024,快手－Ｗ,,73.600,+2.550,+3.589%,74.250,70.100,16.52億,HKD,|
11,11,00388,香港交易所,,343.000,+5.800,+1.720%,345.000,329.000,15.84億,HKD,|
12,12,00941,中國移動,,52.500,+0.750,+1.449%,52.950,51.200,15.36億,HKD,|
13,13,09618,京東集團－ＳＷ,,224.800,+4.600,+2.089%,226.000,211.600,15.18億,HKD,|
14,14,00939,建設銀行,,4.930,+0.040,+0.818%,4.950,4.760,15.12億,HKD,|
15,15,03033,南方恒生科技,,4.172,+0.098,+2.405%,4.182,3.964,13.95億,HKD,|
16,16,02331,李寧,,69.350,+1.600,+2.362%,69.850,65.650,10.34億,HKD,|
17,17,03968,招商銀行,,44.500,+0.850,+1.947%,44.550,42.100,10.12億,HKD,|
18,18,02015,理想汽車－Ｗ,,84.850,+8.050,+10.482%,84.950,77.250,9.83億,HKD,|
19,19,07552,ＸＩ二南方恒科,,6.710,-0.350,-4.958%,7.450,6.680,9.82億,HKD,|
20,20,01928,金沙中國有限公司,,26.900,+1.000,+3.861%,28.200,25.450,8.65億,HKD,|
21,21,00005,滙豐控股,,48.700,+0.150,+0.309%,48.800,47.000,8.65億,HKD,|
22,22,00175,吉利汽車,,11.860,+0.460,+4.035%,12.060,11.060,8.56億,HKD,|
23,23,07226,ＸＬ二南方恒科,,6.090,+0.290,+5.000%,6.115,5.500,8.36億,HKD,|
24,24,01810,小米集團－Ｗ,,11.220,+0.280,+2.559%,11.240,10.540,8.30億,HKD,|
25,25,01398,工商銀行,,4.060,+0.040,+0.995%,4.070,3.910,7.82億,HKD,|
26,26,02380,中國電力,,3.610,+0.310,+9.394%,3.880,3.290,7.16億,HKD,|
27,27,09868,小鵬汽車－Ｗ,,41.350,+3.000,+7.823%,41.500,37.950,7.15億,HKD,|
28,28,06618,京東健康,,68.850,-2.500,-3.504%,70.250,67.000,7.04億,HKD,|
29,29,01797,新東方在綫,,49.500,-3.000,-5.714%,53.300,48.450,6.91億,HKD,|
30,30,02628,中國人壽,,13.660,+0.260,+1.940%,13.840,13.120,6.66億,HKD,|
31,31,00762,中國聯通,,5.180,+0.350,+7.246%,5.250,4.800,6.66億,HKD,|
32,32,00883,中國海洋石油,,10.100,+0.120,+1.202%,10.140,9.870,6.63億,HKD,|
33,33,07500,ＦＩ二南方恒指,,5.135,-0.190,-3.568%,5.610,5.100,6.62億,HKD,|
34,34,09626,嗶哩嗶哩－Ｗ,,198.000,+11.200,+5.996%,198.100,182.200,5.97億,HKD,|
35,35,06098,碧桂園服務,,19.380,-0.060,-0.309%,19.880,18.200,5.93億,HKD,|
36,36,00016,新鴻基地產,,109.200,+2.400,+2.247%,110.000,104.800,5.91億,HKD,|
37,37,02020,安踏體育,,104.200,+1.900,+1.857%,104.600,99.150,5.79億,HKD,|
38,38,02007,碧桂園,,2.690,+0.020,+0.749%,2.720,2.520,5.76億,HKD,|
39,39,00027,銀河娛樂,,53.600,+2.000,+3.876%,54.700,50.900,5.52億,HKD,|
40,40,03988,中國銀行,,2.860,+0.020,+0.704%,2.880,2.790,5.44億,HKD,|
41,41,00836,華潤電力,,16.580,+0.620,+3.885%,16.940,15.800,5.24億,HKD,|
42,42,09926,康方生物－Ｂ,,47.300,+4.300,+10.000%,47.450,42.800,5.18億,HKD,|
43,43,01109,華潤置地,,36.600,+0.850,+2.378%,37.200,34.250,5.17億,HKD,|
44,44,02013,微盟集團,,7.200,+0.540,+8.108%,7.240,6.510,5.07億,HKD,|
45,45,06862,海底撈,,22.800,+0.400,+1.786%,23.200,21.500,4.93億,HKD,|
46,46,07200,ＦＬ二南方恒指,,4.660,+0.168,+3.740%,4.686,4.254,4.84億,HKD,|
47,47,00291,華潤啤酒,,54.950,+0.400,+0.733%,55.250,52.850,4.78億,HKD,|
48,48,09999,網易－Ｓ,,118.600,+4.100,+3.581%,118.900,111.600,4.72億,HKD,|
49,49,02096,先聲藥業,,11.040,-0.580,-4.991%,12.660,10.920,4.54億,HKD,|
50,50,02333,長城汽車,,10.260,+0.100,+0.984%,10.280,9.690,4.23億,HKD,|
